userId,applicationId,lastStatus
TA_20260518_IOT_2,APP_IOT_002,OFFERED
TA_1779586468948_1,APP_1779586777876_2,REJECTED
TA_1775661872788_2,APP_1779613717210_1,PENDING
TA_1775661872788_2,APP_1778763698972_1,SHORTLISTED
TA_20260518_IOT_1,APP_1779587427583_9,PENDING
TA_20260518_IOT_1,APP_1779441522349_8,HIRED
TA_20260518_IOT_1,APP_1779587459282_11,OFFERED
TA_20260518_IOT_1,APP_1779587414225_6,PENDING
TA_20260518_IOT_1,APP_1779587423724_8,PENDING
TA_20260518_IOT_1,APP_IOT_001,OFFERED
TA_20260518_IOT_1,APP_1779587418177_7,PENDING
TA_20260518_IOT_1,APP_1779587445052_10,PENDING
